Seed,Case_Id,Start_State,Solution_Found,Num_Moves,Num_Nodes_Opened,Computing_Time
924,1,"[1, 2, [[7, 2, 4], [6, 5, 0], [8, 1, 3]]]",0,30,30065,2.082994222640991
924,2,"[1, 0, [[2, 1, 5], [0, 4, 6], [7, 3, 8]]]",0,30,29895,1.3720004558563232
924,3,"[2, 2, [[6, 4, 8], [7, 3, 1], [5, 2, 0]]]",0,30,29780,1.3239996433258057
924,4,"[0, 0, [[0, 5, 2], [6, 8, 3], [1, 7, 4]]]",0,30,30972,1.2930002212524414
924,5,"[0, 2, [[8, 6, 0], [1, 5, 2], [3, 7, 4]]]",0,30,26869,1.2439994812011719
924,6,"[0, 0, [[0, 1, 2], [3, 5, 4], [8, 7, 6]]]",0,30,32540,1.420999526977539
924,7,"[0, 0, [[0, 2, 4], [8, 1, 6], [5, 7, 3]]]",0,30,26253,1.221001386642456
924,8,"[0, 2, [[7, 1, 0], [4, 2, 3], [8, 6, 5]]]",1,16,654,0.02299785614013672
924,9,"[1, 2, [[2, 4, 7], [5, 3, 0], [8, 1, 6]]]",0,30,34859,1.5290045738220215
924,10,"[0, 0, [[0, 8, 7], [3, 4, 2], [6, 1, 5]]]",0,30,31606,1.4350004196166992
