seed,Case_Id,Start_State,Solution_Found,Num_Moves,Num_Nodes_Opened,Computing_Time
924,1,"[1, 2, [[7, 2, 4], [6, 5, 0], [8, 1, 3]]]",0,30,269787,14.90999698638916
924,2,"[1, 0, [[2, 1, 5], [0, 4, 6], [7, 3, 8]]]",0,30,268414,13.331006526947021
924,3,"[2, 2, [[6, 4, 8], [7, 3, 1], [5, 2, 0]]]",0,30,270662,15.629995107650757
924,4,"[0, 0, [[0, 5, 2], [6, 8, 3], [1, 7, 4]]]",0,30,269374,18.381999015808105
924,5,"[0, 2, [[8, 6, 0], [1, 5, 2], [3, 7, 4]]]",0,30,304947,25.07600235939026
924,6,"[0, 0, [[0, 1, 2], [3, 5, 4], [8, 7, 6]]]",0,30,269374,15.087995290756226
924,7,"[0, 0, [[0, 2, 4], [8, 1, 6], [5, 7, 3]]]",0,30,269374,16.735005855560303
924,8,"[0, 2, [[7, 1, 0], [4, 2, 3], [8, 6, 5]]]",1,16,7356,0.4179971218109131
924,9,"[1, 2, [[2, 4, 7], [5, 3, 0], [8, 1, 6]]]",0,30,269787,16.272998809814453
924,10,"[0, 0, [[0, 8, 7], [3, 4, 2], [6, 1, 5]]]",0,30,269374,16.704999446868896
